	ENSG	name	description
ENSG00000055211.12	ENSG00000055211	GINM1	glycoprotein integral membrane 1 [Source:HGNC Symbol;Acc:HGNC:21074]
ENSG00000055332.16	ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]
ENSG00000055483.19	ENSG00000055483	USP36	ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]
ENSG00000055609.17	ENSG00000055609	KMT2C	lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726]
ENSG00000055732.12	ENSG00000055732	MCOLN3	mucolipin 3 [Source:HGNC Symbol;Acc:HGNC:13358]
ENSG00000055917.15	ENSG00000055917	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]
ENSG00000055950.16	ENSG00000055950	MRPL43	mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]
ENSG00000055955.15	ENSG00000055955	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]
ENSG00000056050.6	ENSG00000056050	HPF1	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]
ENSG00000056097.15	ENSG00000056097	ZFR	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]
ENSG00000056277.15	ENSG00000056277	ZNF280C	zinc finger protein 280C [Source:HGNC Symbol;Acc:HGNC:25955]
ENSG00000056558.10	ENSG00000056558	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]
ENSG00000056586.15	ENSG00000056586	RC3H2	ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:HGNC:21461]
ENSG00000056736.9	ENSG00000056736	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]
ENSG00000056972.18	ENSG00000056972	TRAF3IP2	TRAF3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1343]
ENSG00000056998.18	ENSG00000056998	GYG2	glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700]
ENSG00000057019.15	ENSG00000057019	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]
ENSG00000057252.12	ENSG00000057252	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
ENSG00000057294.14	ENSG00000057294	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]
ENSG00000057608.16	ENSG00000057608	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]
ENSG00000057657.15	ENSG00000057657	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]
ENSG00000057663.13	ENSG00000057663	ATG5	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]
ENSG00000057704.11	ENSG00000057704	TMCC3	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]
ENSG00000057757.9	ENSG00000057757	PITHD1	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]
ENSG00000057935.13	ENSG00000057935	MTA3	metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]
ENSG00000058056.8	ENSG00000058056	USP13	ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]
ENSG00000058063.15	ENSG00000058063	ATP11B	ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]
ENSG00000058085.14	ENSG00000058085	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]
ENSG00000058091.16	ENSG00000058091	CDK14	cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]
ENSG00000058262.9	ENSG00000058262	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]
ENSG00000058272.16	ENSG00000058272	PPP1R12A	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]
ENSG00000058335.15	ENSG00000058335	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]
ENSG00000058404.19	ENSG00000058404	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]
ENSG00000058453.16	ENSG00000058453	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]
ENSG00000058600.15	ENSG00000058600	POLR3E	RNA polymerase III subunit E [Source:HGNC Symbol;Acc:HGNC:30347]
ENSG00000058668.14	ENSG00000058668	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]
ENSG00000058673.15	ENSG00000058673	ZC3H11A	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]
ENSG00000058729.10	ENSG00000058729	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]
ENSG00000058799.13	ENSG00000058799	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]
ENSG00000058804.11	ENSG00000058804	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]
ENSG00000058866.14	ENSG00000058866	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]
ENSG00000059122.16	ENSG00000059122	FLYWCH1	FLYWCH-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:25404]
ENSG00000059145.18	ENSG00000059145	UNKL	unk like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]
ENSG00000059377.15	ENSG00000059377	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]
ENSG00000059378.12	ENSG00000059378	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]
ENSG00000059573.8	ENSG00000059573	ALDH18A1	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]
ENSG00000059588.9	ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]
ENSG00000059691.11	ENSG00000059691	GATB	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]
ENSG00000059728.10	ENSG00000059728	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]
ENSG00000059758.7	ENSG00000059758	CDK17	cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]
ENSG00000059769.19	ENSG00000059769	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25 [Source:HGNC Symbol;Acc:HGNC:34187]
ENSG00000059804.15	ENSG00000059804	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]
ENSG00000059915.16	ENSG00000059915	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]
ENSG00000060069.16	ENSG00000060069	CTDP1	CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
ENSG00000060138.12	ENSG00000060138	YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]
ENSG00000060237.16	ENSG00000060237	WNK1	WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]
ENSG00000060303.5	ENSG00000060303	RPS17P5	ribosomal protein S17 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:21352]
ENSG00000060339.13	ENSG00000060339	CCAR1	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]
ENSG00000060491.16	ENSG00000060491	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]
ENSG00000060558.3	ENSG00000060558	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]
ENSG00000060642.10	ENSG00000060642	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]
ENSG00000060656.19	ENSG00000060656	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]
ENSG00000060688.12	ENSG00000060688	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]
ENSG00000060718.19	ENSG00000060718	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]
ENSG00000060749.14	ENSG00000060749	QSER1	glutamine and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:26154]
ENSG00000060762.18	ENSG00000060762	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]
ENSG00000060971.17	ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]
ENSG00000060982.14	ENSG00000060982	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]
ENSG00000061273.17	ENSG00000061273	HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]
ENSG00000061337.15	ENSG00000061337	LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]
ENSG00000061455.10	ENSG00000061455	PRDM6	PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]
ENSG00000061656.9	ENSG00000061656	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]
ENSG00000061676.14	ENSG00000061676	NCKAP1	NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]
ENSG00000061794.12	ENSG00000061794	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]
ENSG00000061918.12	ENSG00000061918	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]
ENSG00000061936.9	ENSG00000061936	SFSWAP	splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]
ENSG00000061938.16	ENSG00000061938	TNK2	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]
ENSG00000061987.14	ENSG00000061987	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]
ENSG00000062038.13	ENSG00000062038	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]
ENSG00000062194.15	ENSG00000062194	GPBP1	GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]
ENSG00000062282.14	ENSG00000062282	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]
ENSG00000062370.16	ENSG00000062370	ZNF112	zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892]
ENSG00000062485.18	ENSG00000062485	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]
ENSG00000062582.13	ENSG00000062582	MRPS24	mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]
ENSG00000062598.17	ENSG00000062598	ELMO2	engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]
ENSG00000062650.17	ENSG00000062650	WAPL	WAPL cohesin release factor [Source:HGNC Symbol;Acc:HGNC:23293]
ENSG00000062716.11	ENSG00000062716	VMP1	vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]
ENSG00000062725.9	ENSG00000062725	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]
ENSG00000062822.12	ENSG00000062822	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]
ENSG00000063046.17	ENSG00000063046	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]
ENSG00000063127.15	ENSG00000063127	SLC6A16	solute carrier family 6 member 16 [Source:HGNC Symbol;Acc:HGNC:13622]
ENSG00000063169.10	ENSG00000063169	BICRA	BRD4 interacting chromatin remodeling complex associated protein [Source:HGNC Symbol;Acc:HGNC:4332]
ENSG00000063176.15	ENSG00000063176	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]
ENSG00000063177.12	ENSG00000063177	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]
ENSG00000063180.8	ENSG00000063180	CA11	carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]
ENSG00000063241.7	ENSG00000063241	ISOC2	isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]
ENSG00000063244.12	ENSG00000063244	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]
ENSG00000063245.14	ENSG00000063245	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]
ENSG00000063322.13	ENSG00000063322	MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]
ENSG00000063438.16	ENSG00000063438	AHRR	aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]
ENSG00000063587.13	ENSG00000063587	ZNF275	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]
ENSG00000063601.16	ENSG00000063601	MTMR1	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]
ENSG00000063660.8	ENSG00000063660	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]
ENSG00000063761.15	ENSG00000063761	ADCK1	aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:HGNC:19038]
ENSG00000063854.12	ENSG00000063854	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]
ENSG00000063978.15	ENSG00000063978	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]
ENSG00000064012.21	ENSG00000064012	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]
ENSG00000064042.17	ENSG00000064042	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]
ENSG00000064102.14	ENSG00000064102	INTS13	integrator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:20174]
ENSG00000064115.10	ENSG00000064115	TM7SF3	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]
ENSG00000064199.6	ENSG00000064199	SPA17	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:HGNC:11210]
ENSG00000064201.15	ENSG00000064201	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]
ENSG00000064205.10	ENSG00000064205	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]
ENSG00000064225.12	ENSG00000064225	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]
ENSG00000064270.12	ENSG00000064270	ATP2C2	ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]
ENSG00000064300.8	ENSG00000064300	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]
ENSG00000064309.14	ENSG00000064309	CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]
ENSG00000064313.11	ENSG00000064313	TAF2	TATA-box binding protein associated factor 2 [Source:HGNC Symbol;Acc:HGNC:11536]
ENSG00000064393.15	ENSG00000064393	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]
ENSG00000064419.13	ENSG00000064419	TNPO3	transportin 3 [Source:HGNC Symbol;Acc:HGNC:17103]
ENSG00000064489.22	ENSG00000064489	BORCS8-MEF2B	BORCS8-MEF2B readthrough [Source:HGNC Symbol;Acc:HGNC:39979]
ENSG00000064490.13	ENSG00000064490	RFXANK	regulatory factor X associated ankyrin containing protein [Source:HGNC Symbol;Acc:HGNC:9987]
ENSG00000064545.14	ENSG00000064545	TMEM161A	transmembrane protein 161A [Source:HGNC Symbol;Acc:HGNC:26020]
ENSG00000064547.13	ENSG00000064547	LPAR2	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]
ENSG00000064601.16	ENSG00000064601	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]
ENSG00000064607.16	ENSG00000064607	SUGP2	SURP and G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18641]
ENSG00000064651.13	ENSG00000064651	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]
ENSG00000064652.10	ENSG00000064652	SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]
ENSG00000064655.18	ENSG00000064655	EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]
ENSG00000064666.14	ENSG00000064666	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]
ENSG00000064687.12	ENSG00000064687	ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]
ENSG00000064692.18	ENSG00000064692	SNCAIP	synuclein alpha interacting protein [Source:HGNC Symbol;Acc:HGNC:11139]
ENSG00000064703.11	ENSG00000064703	DDX20	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]
ENSG00000064726.9	ENSG00000064726	BTBD1	BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1120]
ENSG00000064763.10	ENSG00000064763	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]
ENSG00000064787.13	ENSG00000064787	BCAS1	brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]
ENSG00000064886.13	ENSG00000064886	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]
ENSG00000064932.15	ENSG00000064932	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]
ENSG00000064933.16	ENSG00000064933	PMS1	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]
ENSG00000064961.18	ENSG00000064961	HMG20B	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]
ENSG00000064989.12	ENSG00000064989	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]
ENSG00000064995.16	ENSG00000064995	TAF11	TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544]
ENSG00000064999.13	ENSG00000064999	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]
ENSG00000065000.15	ENSG00000065000	AP3D1	adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]
ENSG00000065029.14	ENSG00000065029	ZNF76	zinc finger protein 76 [Source:HGNC Symbol;Acc:HGNC:13149]
ENSG00000065054.13	ENSG00000065054	SLC9A3R2	SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]
ENSG00000065057.7	ENSG00000065057	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]
ENSG00000065060.16	ENSG00000065060	UHRF1BP1	UHRF1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21216]
ENSG00000065135.9	ENSG00000065135	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]
ENSG00000065150.18	ENSG00000065150	IPO5	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]
ENSG00000065154.11	ENSG00000065154	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]
ENSG00000065183.15	ENSG00000065183	WDR3	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]
ENSG00000065243.19	ENSG00000065243	PKN2	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]
ENSG00000065268.10	ENSG00000065268	WDR18	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]
ENSG00000065308.4	ENSG00000065308	TRAM2	translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]
ENSG00000065320.8	ENSG00000065320	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]
ENSG00000065328.16	ENSG00000065328	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]
ENSG00000065357.19	ENSG00000065357	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]
ENSG00000065361.14	ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]
ENSG00000065413.17	ENSG00000065413	ANKRD44	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]
ENSG00000065427.14	ENSG00000065427	KARS1	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]
ENSG00000065457.10	ENSG00000065457	ADAT1	adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]
ENSG00000065485.18	ENSG00000065485	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]
ENSG00000065491.8	ENSG00000065491	TBC1D22B	TBC1 domain family member 22B [Source:HGNC Symbol;Acc:HGNC:21602]
ENSG00000065518.7	ENSG00000065518	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]
ENSG00000065526.10	ENSG00000065526	SPEN	spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]
ENSG00000065534.18	ENSG00000065534	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]
ENSG00000065548.17	ENSG00000065548	ZC3H15	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]
ENSG00000065559.14	ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]
ENSG00000065600.12	ENSG00000065600	PACC1	proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593]
ENSG00000065613.13	ENSG00000065613	SLK	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]
ENSG00000065615.13	ENSG00000065615	CYB5R4	cytochrome b5 reductase 4 [Source:HGNC Symbol;Acc:HGNC:20147]
ENSG00000065621.14	ENSG00000065621	GSTO2	glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]
ENSG00000065665.20	ENSG00000065665	SEC61A2	SEC61 translocon subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:17702]
ENSG00000065717.14	ENSG00000065717	TLE2	TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]
ENSG00000065802.11	ENSG00000065802	ASB1	ankyrin repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:16011]
ENSG00000065809.13	ENSG00000065809	FAM107B	family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]
ENSG00000065833.8	ENSG00000065833	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]
ENSG00000065882.15	ENSG00000065882	TBC1D1	TBC1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:11578]
ENSG00000065883.14	ENSG00000065883	CDK13	cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]
ENSG00000065911.11	ENSG00000065911	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]
ENSG00000065923.9	ENSG00000065923	SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]
ENSG00000065970.8	ENSG00000065970	FOXJ2	forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818]
ENSG00000065978.18	ENSG00000065978	YBX1	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]
ENSG00000065989.15	ENSG00000065989	PDE4A	phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]
ENSG00000066027.11	ENSG00000066027	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]
ENSG00000066044.14	ENSG00000066044	ELAVL1	ELAV like RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3312]
ENSG00000066056.13	ENSG00000066056	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]
ENSG00000066084.12	ENSG00000066084	DIP2B	disco interacting protein 2 homolog B [Source:HGNC Symbol;Acc:HGNC:29284]
ENSG00000066117.14	ENSG00000066117	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:HGNC Symbol;Acc:HGNC:11106]
ENSG00000066135.12	ENSG00000066135	KDM4A	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]
ENSG00000066136.20	ENSG00000066136	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]
ENSG00000066185.12	ENSG00000066185	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]
ENSG00000066230.10	ENSG00000066230	SLC9A3	solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]
ENSG00000066248.14	ENSG00000066248	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]
ENSG00000066279.16	ENSG00000066279	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]
ENSG00000066294.14	ENSG00000066294	CD84	CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]
ENSG00000066322.13	ENSG00000066322	ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]
ENSG00000066336.11	ENSG00000066336	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]
ENSG00000066379.14	ENSG00000066379	POLR1H	RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]
ENSG00000066382.16	ENSG00000066382	MPPED2	metallophosphoesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1180]
ENSG00000066422.4	ENSG00000066422	ZBTB11	zinc finger and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16740]
ENSG00000066427.21	ENSG00000066427	ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]
ENSG00000066455.12	ENSG00000066455	GOLGA5	golgin A5 [Source:HGNC Symbol;Acc:HGNC:4428]
ENSG00000066468.21	ENSG00000066468	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]
ENSG00000066557.5	ENSG00000066557	LRRC40	leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]
ENSG00000066583.11	ENSG00000066583	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]
ENSG00000066629.16	ENSG00000066629	EML1	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]
ENSG00000066651.17	ENSG00000066651	TRMT11	tRNA methyltransferase 11 homolog [Source:HGNC Symbol;Acc:HGNC:21080]
ENSG00000066654.13	ENSG00000066654	THUMPD1	THUMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23807]
ENSG00000066697.14	ENSG00000066697	MSANTD3	Myb/SANT DNA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23370]
